	PER	BUT	FUCO	HEX	NEO	PRAS	MYXO	VIOL	DDX	ALLO	LUT	ZEA	CHLB2	CHLA2	CHLB1	CHLA1
PrasT3	0	0	0	0	0.061	0.127	0	0	0	0	0.004	0	0	0	0.381	0.403
Dino	0.462	0	0	0	0	0	0	0	0.104	0	0	0	0	0	0	0.434
Cryp	0	0	0	0	0	0	0	0	0	0.186	0	0	0	0	0	0.814
HaptT3	0	0	0	0.608	0	0	0	0	0.036	0	0	0	0	0	0	0.356
Chry	0	0.152	0.4	0	0	0	0	0	0.037	0	0	0	0	0	0	0.411
Eugl	0	0	0	0	0.009	0	0	0	0.139	0	0	0	0	0	0.246	0.606
Chlo	0	0	0	0	0.04	0	0	0.035	0	0	0.127	0.006	0	0	0.165	0.628
Proc	0	0	0	0	0	0	0	0	0	0	0	0.134	0.449	0.418	0	0
Syne	0	0	0	0	0	0	0	0	0	0	0	0.258	0	0	0	0.742
Tric	0	0	0	0	0	0	0.015	0	0	0	0	0.092	0	0	0	0.893
Diat	0	0	0.399	0	0	0	0	0	0.072	0	0	0	0	0	0	0.529
