	PER	BUT	FUCO	HEX	NEO	PRAS	MYXO	VIOL	DDX	ALLO	LUT	ZEA	CHLB2	CHLA2	CHLB1	CHLA1
PrasT3	0	0	0	0	0.151	0.315	0	0	0	0	0.01	0	0	0	0.945	1
Dino	1.065	0	0	0	0	0	0	0	0.24	0	0	0	0	0	0	1
Cryp	0	0	0	0	0	0	0	0	0	0.229	0	0	0	0	0	1
HaptT3	0	0	0	1.708	0	0	0	0	0.101	0	0	0	0	0	0	1
Chry	0	0.37	0.973	0	0	0	0	0	0.09	0	0	0	0	0	0	1
Eugl	0	0	0	0	0.015	0	0	0	0.229	0	0	0	0	0	0.406	1
Chlo	0	0	0	0	0.064	0	0	0.056	0	0	0.202	0.01	0	0	0.263	1
Syne	0	0	0	0	0	0	0	0	0	0	0	0.348	0	0	0	1
Tric	0	0	0	0	0	0	0.017	0	0	0	0	0.103	0	0	0	1
Diat	0	0	0.754	0	0	0	0	0	0.136	0	0	0	0	0	0	1
